slug_country,tournament,id,slug_torn
argentina,Torneo Federal A,14090,torneo-federal-a
argentina,Supercopa Argentina,1618,supercopa-argentina
argentina,Campeonato de Fútbol Femenino,10495,primera-division-women
argentina,Trofeo de Campeones de la Liga Profesional,18436,trofeo-de-campeones-de-la-liga-profesional
argentina,Campeonato de Reserva de Primera División,18817,campeonato-de-reserva-de-primera-division
argentina,Supercopa Internacional,19841,supercopa-internacional
argentina,Copa de la Liga Reserves,20877,copa-de-la-liga-reserves
armenia,Armenian Premier League,671,idbank-premier-league
armenia,Armenian 1st League,672,first-league
armenia,Armenian Cup,778,armenian-cup
armenia,Armenian Supercup,1924,super-cup
armenia,Women’s Highest League,24055,women-s-highest-league
aruba,Division di Honor,19345,division-di-honor
aruba,Copa Betico Croes,21854,copa-betico-croes
aruba,Division 1,21436,division-1
australia,A-League Men,136,a-league-men
australia,A-League Women,1894,a-league-women
australia,Australia Cup,1786,australia-cup
australia,NPL Capital Football,1260,npl-capital-football
australia,NPL New South Wales,1274,npl-new-south-wales
australia,NPL Northern New South Wales,1638,npl-northern-new-south-wales
australia,NPL Queensland,1268,npl-queensland
australia,NPL Queensland Women,10476,npl-queensland-women
australia,NPL South Australia,1258,npl-south-australia
australia,NPL South Australia Women,14723,npl-south-australia-women
australia,NPL Tasmania,1626,npl-tasmania
australia,NPL Victoria Men,1275,npl-victoria
australia,NPL Western Australia,1270,npl-western-australia
australia,NPL Victoria Women,10443,victoria-premier-league-women
australia,Capital Premier League,26017,capital-premier-league
australia,Football West State League 1,25989,football-west-state-league-1
australia,Northern NSW League One,26014,northern-nsw-league-one
australia,NPL Northern Territory,25509,npl-northern-territory
australia,NPL Victoria U23,24907,npl-victoria-u23
australia,NSW League One,26015,nsw-league-one
australia,NSW League Two,24641,nsw-league-two
australia,"NSW NPL, Women",26388,nsw-npl-women
australia,NSW NPL Women's,25411,nsw-npl-womens
australia,NSW U20 Premier League,24649,nsw-u20-premier-league
australia,Queensland Kappa Pro Series,24883,queensland-kappa-pro-series
australia,Queensland Premier League 2,25243,queensland-premier-league-2
australia,Queensland Premier League 2,26382,queensland-premier-league-2
australia,South Australia State League 1,26016,south-australia-state-league-1
australia,Tasmania Northern Championship,26018,tasmania-northern-championship
australia,Tasmania Southern Championship,26019,tasmania-southern-championship
australia,U23 Western Australian Premier League,27075,u23-western-australian-premier-league
australia,"Victoria Cup, Women",27515,victoria-cup-women
australia,West Australia - State League Div 1 Reserves,27237,west-australia-state-league-div-1-reserves
australia,"Western Australia NPL, Women",26387,western-australia-npl-women
australia,Western Australia State League 1,26020,western-australia-state-league-1
austria,"OFB Cup, Women",26795,ofb-cup-women
austria,Austrian Bundesliga,45,bundesliga
austria,ÖFB Cup,445,ofb-cup
austria,2. Liga,135,2-liga
austria,Frauen Bundesliga,9415,frauen-bundesliga
azerbaijan,Misli Premier League,709,misli-premier-league
azerbaijan,Birinci Liqa,736,birinci-liqa
azerbaijan,İkinci Liqa,21050,ikinci-liqa
azerbaijan,Regional League,20077,regional-league
azerbaijan,Azerbaijan Cup,740,azerbaijan-cup
azerbaijan,AFFA Gənclər Liqası,25382,affa-gencler-liqasi
azerbaijan,Tələbə Liqası,25528,telebe-liqasi
bahamas,BFA Senior League,19511,bfa-senior-league
bahrain,Bahraini Premier League,846,premier-league
bahrain,Bahraini 2nd Division,10619,2nd-division
bahrain,King's Cup,2736,kings-cup
bahrain,Federation Cup,14126,federation-cup
bahrain,Bahraini Super Cup,18940,super-cup
bahrain,Bahrain U21 League,25122,bahrain-u21-league
bangladesh,Bangladesh Football Premier League,13331,premier-league
bangladesh,Championship League,16640,championship-league
bangladesh,Bangladesh Challenge Cup,24278,bangladesh-challenge-cup
bangladesh,Bangladesh Federation Cup,24351,bangladesh-federation-cup
barbados,BFA Premier League,20208,bfa-premier-league
belarus,Vysshaya Liga,169,vysshaya-liga
belarus,Pershaya Liga,776,pershaya-liga
belarus,Vtoraya Liga,22139,vtoraya-liga
belarus,Belarus Cup,578,belarus-cup
belarus,Belarusian Super Cup,775,belarusian-super-cup
belarus,Vysshaya Liga Women,15016,vysshaya-liga-women
belgium,Pro League,38,pro-league
belgium,Challenger Pro League,9,challenger-pro-league
belgium,Belgian Cup,326,belgian-cup
belgium,Belgian Super Cup,338,belgian-super-cup
belgium,Belgian Women's Super League,2127,belgian-womens-super-league
belgium,Reserve League 1A,1117,reserve-league-1a
belgium,Coupe U21 Pro League,14450,coupe-u21-pro-league
belize,Premier League of Belize,21115,premier-league-of-belize
benin,Celtiis Ligue Pro,22542,ligue-pro-benin
benin,Tournoi des Centres de Formation  Féminin,23458,tournoi-des-centres-de-formation
benin,Tournoi des Centres de Formation,23459,tournoi-des-centres-de-formation
benin,Tournoi Inter-Communes (Masculin),23826,tournoi-inter-communes
benin,Tournoi Inter-Communes (Féminin),23827,tournoi-inter-communes-feminin
benin,Tournoi Football Talents Plus U15,24281,tournoi-football-talents-plus-u15
benin,Championnat Scolaire,26375,championnat-scolaire
benin,Championnat Scolaire Féminin,26376,championnat-scolaire-feminin
bermuda,Premier Division,23807,bermuda-premier-division
bhutan,Bhutan Premier League,22397,bhutan-premier-league
bolivia,Torneo Amistoso De Verano,18593,playoff-promocao-da-i-divisao-distrital-af-leiria
bolivia,División Profesional,16736,division-profesional
bolivia,Copa Simón Bolívar,19011,copa-simon-bolivar
bolivia,Copa Division Profesional,19891,copa-division-profesional
bolivia,Liga Nacional Sub-19,22711,liga-nacional-sub-19
bolivia,Liga Femenina,22751,liga-femenina-de-futbol-boliviano
bolivia,Primera A Tarija,26176,primera-a-tarija
bolivia,Primera A Beni,26242,primera-a-beni
bolivia,Bolivia Friendly Games,27190,bolivia-friendly-games
bolivia,Interprovinciales Pre Copa Simón Bolívar,27354,torneo-interprovincial-cochabamba
bolivia,Primera A Chuquisaca,27114,chuquisaca-first-a
bolivia,Primera A Cochabamba,26682,primera-a-cochabamba
bolivia,Primera A La Paz,26954,primera-a-la-paz
bolivia,Primera A Oruro,27207,primera-a-oruoro
bolivia,Primera A Pando,27214,primera-a-pando
bolivia,Primera A Potosí,27197,primera-a-potosi
bolivia,Primera A Santa Cruz,26929,primera-a-santa-cruz
bolivia,Primera B Beni,27398,primera-b-beni
bolivia,Primera B Chuquisaca,27216,primera-b-chuquisaca
bolivia,Primera B Cochabamba,27384,primera-b-cochabamba
bolivia,Primera B La Paz,27493,primera-b-la-paz
bolivia,Primera B Oruro,27406,primera-b-oruro
bolivia,Primera B Potosí,27487,primera-b-potosi
bolivia,Primera B Santa Cruz,27334,primera-b-santa-cruz
bolivia,Primera B Tarija,27318,primera-b-tarija
bolivia,Primera de Ascenso Chuquisaca,28362,primera-de-ascenso-chuquisaca
bolivia,Primera de Ascenso Cochabamba,27549,primera-de-ascenso-cochabamba
bolivia,Primera de Ascenso La Paz,28164,primera-de-ascenso-la-paz
bolivia,Primera de Ascenso Santa Cruz,27692,primera-de-ascenso-santa-cruz
bolivia,Primera de Ascenso Tarija,27802,primera-de-ascenso-tarija
bolivia,Segunda de Ascenso Beni,27792,segunda-ascenso-beni
bolivia,Segunda de Ascenso Cochabamba,27653,segunda-de-ascenso-cochabamba
