slug_country,tournament,leagueid,slug_torn,teamName,teamid,teamslug,teamorigin
italy,Serie A,23,serie-a,Inter,2697,inter,italy
italy,Serie A,23,serie-a,Lazio,2699,lazio,italy
italy,Serie A,23,serie-a,Milan,2692,milan,italy
italy,Serie A,23,serie-a,Como,2704,como,italy
italy,Serie A,23,serie-a,Bologna,2685,bologna,italy
italy,Serie A,23,serie-a,Atalanta,2686,atalanta,italy
italy,Serie A,23,serie-a,Fiorentina,2693,fiorentina,italy
italy,Serie A,23,serie-a,Cagliari,2719,cagliari,italy
italy,Serie A,23,serie-a,Pisa,2737,pisa,italy
italy,Serie A,23,serie-a,Genoa,2713,genoa,italy
italy,Serie A,23,serie-a,Parma,2690,parma,italy
italy,Serie A,23,serie-a,Lecce,2689,lecce,italy
italy,Serie A,23,serie-a,Hellas Verona,2701,hellas-verona,italy
italy,Serie A,23,serie-a,Torino,2696,torino,italy
italy,Serie A,23,serie-a,Sassuolo,2793,sassuolo,italy
france,Ligue 1,34,ligue-1,Paris Saint-Germain,1644,paris-saint-germain,france
france,Ligue 1,34,ligue-1,Olympique Lyonnais,1649,olympique-lyonnais,france
france,Ligue 1,34,ligue-1,Lille,1643,lille,france
france,Ligue 1,34,ligue-1,AS Monaco,1653,as-monaco,france
france,Ligue 1,34,ligue-1,RC Lens,1648,rc-lens,france
france,Ligue 1,34,ligue-1,RC Strasbourg,1659,rc-strasbourg,france
france,Ligue 1,34,ligue-1,Toulouse,1681,toulouse,france
france,Ligue 1,34,ligue-1,Angers,1684,angers,france
france,Ligue 1,34,ligue-1,Stade Rennais,1658,stade-rennais,france
france,Ligue 1,34,ligue-1,Olympique de Marseille,1641,olympique-de-marseille,france
france,Ligue 1,34,ligue-1,Le Havre,1662,le-havre,france
france,Ligue 1,34,ligue-1,Nice,1661,nice,france
france,Ligue 1,34,ligue-1,Nantes,1647,nantes,france
france,Ligue 1,34,ligue-1,Auxerre,1646,auxerre,france
france,Ligue 1,34,ligue-1,Lorient,1656,lorient,france
france,Ligue 1,34,ligue-1,Paris FC,6070,paris-fc,france
france,Ligue 1,34,ligue-1,Stade Brestois,1715,stade-brestois,france
france,Ligue 1,34,ligue-1,Metz,1651,metz,france
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Abu Muslim,939374,abu-muslim,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Attack Energy SC,527823,attack-energy-sc,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Sorkh Poshan,939365,sorkh-poshan,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Istiqlal Club,939366,istiqlal-club,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Sarrafan FC,1040177,sarrafan-fc,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Khurasan FC,939371,khurasan-fc,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Sarsabz Yashlar,939369,sarsabz-yashlar,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Mawj Sahel Sehat,939370,mawj-sahel-sehat,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Aino FC,939368,aino-fc,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Perozi Kabul,1040176,perozi-kabul,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Adalat Farah,939372,adalat-farah,afghanistan
afghanistan,Afghanistan Champions League,24194,afghanistan-champions-league,Khadim FC,939375,khadim-fc,afghanistan
albania,Abissnet Superiore,720,abissnet-superiore,AF Elbasani,403091,af-elbasani,albania
albania,Abissnet Superiore,720,abissnet-superiore,FK Partizani,5222,fk-partizani,albania
albania,Abissnet Superiore,720,abissnet-superiore,Dinamo City,5217,dinamo-city,albania
albania,Abissnet Superiore,720,abissnet-superiore,KF Vora,173810,kf-vora,albania
albania,Abissnet Superiore,720,abissnet-superiore,KF Vllaznia,5418,kf-vllaznia,albania
albania,Abissnet Superiore,720,abissnet-superiore,KF Bylis,37123,kf-bylis,albania
albania,Abissnet Superiore,720,abissnet-superiore,KF Teuta Durrës,5417,kf-teuta-durres,albania
albania,Abissnet Superiore,720,abissnet-superiore,Flamurtari FC,36387,flamurtari-fc,albania
albania,Abissnet Superiore,720,abissnet-superiore,KF Egnatia,264619,ks-egnatia,albania
albania,Abissnet Superiore,720,abissnet-superiore,KF Tirana,5195,kf-tirana,albania
algeria,Algerian Ligue 1,841,ligue-1,MB Rouissat,238383,mb-rouisset,algeria
algeria,Algerian Ligue 1,841,ligue-1,Olympique Akbou,306567,olympique-akbou,algeria
algeria,Algerian Ligue 1,841,ligue-1,USM Khenchela,238384,usm-khenchela,algeria
algeria,Algerian Ligue 1,841,ligue-1,ES Mostaganem,186100,es-mostaganem,algeria
algeria,Algerian Ligue 1,841,ligue-1,CR Belouizdad,42207,cr-belouizdad,algeria
algeria,Algerian Ligue 1,841,ligue-1,MC Oran,45001,mc-oran,algeria
algeria,Algerian Ligue 1,841,ligue-1,CS Constantine,55393,cs-constantine,algeria
algeria,Algerian Ligue 1,841,ligue-1,ES Sétif,41756,es-setif,algeria
algeria,Algerian Ligue 1,841,ligue-1,JS Kabylie,42202,js-kabylie,algeria
algeria,Algerian Ligue 1,841,ligue-1,MC Alger,42204,mc-alger,algeria
algeria,Algerian Ligue 1,841,ligue-1,USM Alger,42206,usm-alger,algeria
algeria,Algerian Ligue 1,841,ligue-1,ES Ben Aknoun,133444,es-ben-aknoun,algeria
algeria,Algerian Ligue 1,841,ligue-1,JS Saoura,79565,js-saoura,algeria
algeria,Algerian Ligue 1,841,ligue-1,ASO Chlef,42201,aso-chlef,algeria
algeria,Algerian Ligue 1,841,ligue-1,Paradou AC,212197,paradou-ac,algeria
algeria,Algerian Ligue 1,841,ligue-1,MC El Bayadh,133466,mc-el-bayadh,algeria
american-samoa,FFAS Senior League,21134,ffas-senior-league,Pago Youth FC,492002,pago-youth-fc,american-samoa
american-samoa,FFAS Senior League,21134,ffas-senior-league,PanSa East SC,491993,pansa-east-sc,american-samoa
american-samoa,FFAS Senior League,21134,ffas-senior-league,Royal Puma FC,491994,royal-puma-fc,american-samoa
american-samoa,FFAS Senior League,21134,ffas-senior-league,Ilaoa & To'omata SC,491992,ilaoa-and-toomata-sc,american-samoa
american-samoa,FFAS Senior League,21134,ffas-senior-league,Vaiala Tongan,491999,vaiala-tongan,american-samoa
american-samoa,FFAS Senior League,21134,ffas-senior-league,Green Bay Faga'alu,491997,green-bay-fagaalu,american-samoa
american-samoa,FFAS Senior League,21134,ffas-senior-league,Tafuna Jets,492000,tafuna-jets,american-samoa
american-samoa,FFAS Senior League,21134,ffas-senior-league,Utulei Youth,492001,utulei-youth,american-samoa
american-samoa,FFAS Senior League,21134,ffas-senior-league,Lion Heart,491998,lion-heart,american-samoa
american-samoa,FFAS Senior League,21134,ffas-senior-league,Tupulaga Fagasa,556616,tupulaga-fagasa,american-samoa
american-samoa,FFAS Senior League,21134,ffas-senior-league,Black Roses,491995,black-roses,american-samoa
andorra,Primera Divisió,742,primera-divisio,Atlètic Club Escaldes,37962,atletic-club-escaldes,andorra
andorra,Primera Divisió,742,primera-divisio,CE Carroi,209035,ce-carroi,andorra
andorra,Primera Divisió,742,primera-divisio,CF Esperanca d'Andorra,422630,cf-esperanca-dandorra,andorra
andorra,Primera Divisió,742,primera-divisio,FC Ordino,83851,fc-ordino,andorra
andorra,Primera Divisió,742,primera-divisio,FC Pas de la Casa,209036,fc-pas-de-la-casa,andorra
andorra,Primera Divisió,742,primera-divisio,Penya Encarnada d'Andorra,37966,penya-encarnada-dandorra,andorra
andorra,Primera Divisió,742,primera-divisio,FC Rànger's,5965,fc-rangers,andorra
andorra,Primera Divisió,742,primera-divisio,FC Santa Coloma,7711,fc-santa-coloma,andorra
andorra,Primera Divisió,742,primera-divisio,Inter Club d'Escaldes,37946,inter-club-descaldes,andorra
andorra,Primera Divisió,742,primera-divisio,UE Santa Coloma,37949,ue-santa-coloma,andorra
angola,Girabola,2308,girabola,Atlético Petróleos de Luanda,148072,atletico-petroleos-de-luanda,angola
angola,Girabola,2308,girabola,Wiliete SC,326543,wiliete-sc,angola
angola,Girabola,2308,girabola,Primeiro de Agosto,134318,primeiro-de-agosto,angola
angola,Girabola,2308,girabola,Sagrada Esperança,195746,sagrada-esperanca,angola
angola,Girabola,2308,girabola,FC Bravos do Maquis,195753,fc-bravos-do-maquis,angola
angola,Girabola,2308,girabola,CD São Salvador,496745,cd-sao-salvador,angola
angola,Girabola,2308,girabola,Interclube Luanda,76431,interclube-luanda,angola
angola,Girabola,2308,girabola,Desportivo da Huíla,195747,desportivo-da-huila,angola
angola,Girabola,2308,girabola,Kabuscorp SCP,134310,kabuscorp-scp,angola
angola,Girabola,2308,girabola,CD Lunda Sul,394492,clube-desportivo-lunda-sul,angola
angola,Girabola,2308,girabola,Académica Petróleos do Lobito,195748,academica-petroleos-do-lobito,angola
angola,Girabola,2308,girabola,Recreativo do Libolo,94785,recreativo-do-libolo,angola
angola,Girabola,2308,girabola,Luanda City FC,859331,luanda-city-fc,angola
angola,Girabola,2308,girabola,Santa Rita de Cássia FC,245483,santa-rita,angola
angola,Girabola,2308,girabola,GD Escolinha Isaac do Benguela,448660,gd-escolinha-isaac-de-benguela,angola
angola,Girabola,2308,girabola,Carmona SC do Uíge,859332,carmona-fc,angola
anguilla,AFA Senior Male League,16721,afa-senior-male-league,Roaring Lions FC,377274,roaring-lions-fc,anguilla
anguilla,AFA Senior Male League,16721,afa-senior-male-league,Attackers FC,377276,attackers-fc,anguilla
anguilla,AFA Senior Male League,16721,afa-senior-male-league,Doc's United FC,377278,docs-united-fc,anguilla
anguilla,AFA Senior Male League,16721,afa-senior-male-league,Uprising FC,377272,uprising-fc,anguilla
anguilla,AFA Senior Male League,16721,afa-senior-male-league,Eagle Claw FC,409450,eagle-claw-fc,anguilla
anguilla,AFA Senior Male League,16721,afa-senior-male-league,Spartans FC,377273,spartans-fc,anguilla
anguilla,AFA Senior Male League,16721,afa-senior-male-league,Lymers FC,377269,lymers-fc,anguilla
anguilla,AFA Senior Male League,16721,afa-senior-male-league,Diamond FC,377271,diamond-fc,anguilla
anguilla,AFA Senior Male League,16721,afa-senior-male-league,West End Predators FC,377268,west-end-predators-fc,anguilla
anguilla,AFA Senior Male League,16721,afa-senior-male-league,East Enders FC,938576,east-enders-fc,anguilla
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,All Saints United,459375,all-saints-united,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Grenades FC,459380,grenades-fc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Garden Stars FC,500236,garden-stars-fc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Flow Old Road FC,244433,flow-old-road-fc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Villa Lions FC,459377,villa-lions-fc,antigua-and-barbuda
antigua-and-barbuda,ABFA Premier Division,19790,abfa-premier-division,Pigotts SC,459373,pigotts-sc,antigua-and-barbuda
