slug_country,tournament,id,slug_torn
papua-new-guinea,National Soccer League,20718,national-soccer-league
paraguay,"Primera División, Apertura",11540,primera-division-apertura
peru,Liga 1,406,liga-1
philippines,Philippines Football League,1654,philippines-football-league
poland,Ekstraklasa,202,ekstraklasa
portugal,Liga Portugal Betclic,238,liga-portugal-betclic
romania,Romanian Super Liga,152,superliga
rwanda,Rwanda Premier League,10608,national-league
saint-kitts-and-nevis,SKNFA Premier League,16732,sknfa-premier-league
saint-martin,Régional 1,25050,regional-1
saint-vincent-and-the-grenadines,SVGFF Premier Division,19889,svgff-premier-division
samoa,Upolu National League,19034,upolu-national-league
san-marino,Campionato Sammarinese,738,campionato-sammarinese
sao-tome-and-principe,Campeonato Nacional,18272,campeonato-nacional
scotland,Scottish Premiership,36,premiership
senegal,Senegal Ligue 1,1226,ligue-1
serbia,Mozzart Bet Superliga,210,mozzart-bet-superliga
seychelles,Seychelles Premier League,23538,premier-league
sierra-leone,Sierra Leone National Premier League,16950,premier-league
singapore,Singapore Premier League,634,premier-league
sint-maarten,Premier League,21773,premier-league
slovakia,Niké Liga,211,nike-liga
slovenia,PrvaLiga,212,prvaliga
solomon-islands,Telekom S-League,16439,telekom-s-league
somalia,Premier League,22403,premier-league
south-africa,South African Premier Division,358,premiership
south-korea,K League 1,410,k-league-1
south-sudan,Premier League,24561,premier-league
suriname,SVB Eerste Divisie,18576,svb-eerste-divisie
sweden,Allsvenskan,40,allsvenskan
switzerland,Swiss Super League,215,super-league
tajikistan,Tajikistan Higher League,16817,tajikistan-higher-league
tanzania,Tanzanian Premier League,2353,premier-league
thailand,Thai League 1,1032,thai-league-1
tonga,TFA Major League,23098,tfa-major-league
trinidad-and-tobago,Premier Football League,10636,premier-football-league
tunisia,Tunisian Ligue Professionnelle 1,984,ligue-1
turkey,Trendyol Süper Lig,52,trendyol-super-lig
turkmenistan,Ýokary Liga,18229,yokary-liga
turks-and-caicos-islands,TCIFA Premier League,21450,tcifa-premier-league
uganda,Uganda Premier League,10166,premier-league
ukraine,Ukrainian Premier League,218,premier-league
united-arab-emirates,UAE Pro League,971,uae-pro-league
usa,MLS,242,mls
uzbekistan,Uzbekistan Super League,772,super-league
vanuatu,PVFA Super League,20485,pvfa-premier-league
venezuela,Liga FUTVE,231,primera-division
vietnam,V-League 1,626,v-league-1
wales,Cymru Premier,254,cymru-premier
zambia,Zambia Super League,2065,super-league
zimbabwe,Zimbabwe Premier Soccer League,11033,premier-soccer-league
qatar,Stars League,825,stars-league
swaziland,MTN Premier League,18452,mtn-premier-league
oman,Omani League,965,omani-league
saudi-arabia,Saudi Pro League,955,saudi-pro-league
syria,Syrian Premier League,17243,premier-league
uruguay,Liga AUF Uruguaya,278,primera-division
