,slug_country,tournament,id,slug_torn
120,anguilla,President's Cup,21918,presidents-cup
121,anguilla,"President's Cup, Women",25181,presidents-cup-women
122,argentina,Liga Profesional de Fútbol,155,liga-profesional-de-futbol
123,argentina,Copa de la Liga Profesional,13475,copa-de-la-liga-profesional
124,argentina,Copa Argentina,1024,copa-argentina
125,argentina,Primera Nacional,703,primera-nacional
126,argentina,Primera B Metropolitana,1347,primera-b
127,argentina,Primera C Metropolitana,11386,primera-c-metropolitana
128,argentina,Primera D Metropolitana,14101,primera-d-metropolitana
129,argentina,Torneo Federal A,14090,torneo-federal-a
130,argentina,Supercopa Argentina,1618,supercopa-argentina
131,argentina,Campeonato de Fútbol Femenino,10495,primera-division-women
132,argentina,Trofeo de Campeones de la Liga Profesional,18436,trofeo-de-campeones-de-la-liga-profesional
133,argentina,Campeonato de Reserva de Primera División,18817,campeonato-de-reserva-de-primera-division
134,argentina,Supercopa Internacional,19841,supercopa-internacional
135,argentina,Copa de la Liga Reserves,20877,copa-de-la-liga-reserves
136,armenia,Armenian Premier League,671,idbank-premier-league
137,armenia,Armenian 1st League,672,first-league
138,armenia,Armenian Cup,778,armenian-cup
139,armenia,Armenian Supercup,1924,super-cup
140,armenia,Women’s Highest League,24055,women-s-highest-league
141,aruba,Division di Honor,19345,division-di-honor
142,aruba,Copa Betico Croes,21854,copa-betico-croes
143,aruba,Division 1,21436,division-1
144,australia,A-League Men,136,a-league-men
145,australia,A-League Women,1894,a-league-women
146,australia,Australia Cup,1786,australia-cup
147,australia,NPL Capital Football,1260,npl-capital-football
148,australia,NPL New South Wales,1274,npl-new-south-wales
149,australia,NPL Northern New South Wales,1638,npl-northern-new-south-wales
150,australia,NPL Queensland,1268,npl-queensland
151,australia,NPL Queensland Women,10476,npl-queensland-women
152,australia,NPL South Australia,1258,npl-south-australia
153,australia,NPL South Australia Women,14723,npl-south-australia-women
154,australia,NPL Tasmania,1626,npl-tasmania
155,australia,NPL Victoria Men,1275,npl-victoria
156,australia,NPL Western Australia,1270,npl-western-australia
157,australia,NPL Victoria Women,10443,victoria-premier-league-women
158,australia,Capital Premier League,26017,capital-premier-league
159,australia,Football West State League 1,25989,football-west-state-league-1
160,australia,Northern NSW League One,26014,northern-nsw-league-one
161,australia,NPL Northern Territory,25509,npl-northern-territory
162,australia,NPL Victoria U23,24907,npl-victoria-u23
163,australia,NSW League One,26015,nsw-league-one
164,australia,NSW League Two,24641,nsw-league-two
165,australia,"NSW NPL, Women",26388,nsw-npl-women
166,australia,NSW NPL Women's,25411,nsw-npl-womens
167,australia,NSW U20 Premier League,24649,nsw-u20-premier-league
168,australia,Queensland Kappa Pro Series,24883,queensland-kappa-pro-series
169,australia,Queensland Premier League 2,25243,queensland-premier-league-2
170,australia,Queensland Premier League 2,26382,queensland-premier-league-2
171,australia,South Australia State League 1,26016,south-australia-state-league-1
172,australia,Tasmania Northern Championship,26018,tasmania-northern-championship
173,australia,Tasmania Southern Championship,26019,tasmania-southern-championship
174,australia,U23 Western Australian Premier League,27075,u23-western-australian-premier-league
175,australia,"Victoria Cup, Women",27515,victoria-cup-women
176,australia,West Australia - State League Div 1 Reserves,27237,west-australia-state-league-div-1-reserves
177,australia,"Western Australia NPL, Women",26387,western-australia-npl-women
178,australia,Western Australia State League 1,26020,western-australia-state-league-1
179,austria,"OFB Cup, Women",26795,ofb-cup-women
180,austria,Austrian Bundesliga,45,bundesliga
181,austria,ÖFB Cup,445,ofb-cup
182,austria,2. Liga,135,2-liga
183,austria,Frauen Bundesliga,9415,frauen-bundesliga
184,azerbaijan,Misli Premier League,709,misli-premier-league
185,azerbaijan,Birinci Liqa,736,birinci-liqa
186,azerbaijan,İkinci Liqa,21050,ikinci-liqa
187,azerbaijan,Regional League,20077,regional-league
188,azerbaijan,Azerbaijan Cup,740,azerbaijan-cup
189,azerbaijan,AFFA Gənclər Liqası,25382,affa-gencler-liqasi
190,azerbaijan,Tələbə Liqası,25528,telebe-liqasi
191,bahamas,BFA Senior League,19511,bfa-senior-league
192,bahrain,Bahraini Premier League,846,premier-league
193,bahrain,Bahraini 2nd Division,10619,2nd-division
194,bahrain,King's Cup,2736,kings-cup
195,bahrain,Federation Cup,14126,federation-cup
196,bahrain,Bahraini Super Cup,18940,super-cup
197,bahrain,Bahrain U21 League,25122,bahrain-u21-league
198,bangladesh,Bangladesh Football Premier League,13331,premier-league
199,bangladesh,Championship League,16640,championship-league
200,bangladesh,Bangladesh Challenge Cup,24278,bangladesh-challenge-cup
201,bangladesh,Bangladesh Federation Cup,24351,bangladesh-federation-cup
202,barbados,BFA Premier League,20208,bfa-premier-league
203,belarus,Vysshaya Liga,169,vysshaya-liga
204,belarus,Pershaya Liga,776,pershaya-liga
205,belarus,Vtoraya Liga,22139,vtoraya-liga
206,belarus,Belarus Cup,578,belarus-cup
207,belarus,Belarusian Super Cup,775,belarusian-super-cup
208,belarus,Vysshaya Liga Women,15016,vysshaya-liga-women
209,belgium,Pro League,38,pro-league
210,belgium,Challenger Pro League,9,challenger-pro-league
211,belgium,Belgian Cup,326,belgian-cup
212,belgium,Belgian Super Cup,338,belgian-super-cup
213,belgium,Belgian Women's Super League,2127,belgian-womens-super-league
214,belgium,Reserve League 1A,1117,reserve-league-1a
215,belgium,Coupe U21 Pro League,14450,coupe-u21-pro-league
216,belize,Premier League of Belize,21115,premier-league-of-belize
217,benin,Celtiis Ligue Pro,22542,ligue-pro-benin
218,benin,Tournoi des Centres de Formation  Féminin,23458,tournoi-des-centres-de-formation
219,benin,Tournoi des Centres de Formation,23459,tournoi-des-centres-de-formation
220,benin,Tournoi Inter-Communes (Masculin),23826,tournoi-inter-communes
221,benin,Tournoi Inter-Communes (Féminin),23827,tournoi-inter-communes-feminin
222,benin,Tournoi Football Talents Plus U15,24281,tournoi-football-talents-plus-u15
223,benin,Championnat Scolaire,26375,championnat-scolaire
224,benin,Championnat Scolaire Féminin,26376,championnat-scolaire-feminin
225,bermuda,Premier Division,23807,bermuda-premier-division
226,bhutan,Bhutan Premier League,22397,bhutan-premier-league
227,bolivia,Torneo Amistoso De Verano,18593,playoff-promocao-da-i-divisao-distrital-af-leiria
228,bolivia,División Profesional,16736,division-profesional
229,bolivia,Copa Simón Bolívar,19011,copa-simon-bolivar
230,bolivia,Copa Division Profesional,19891,copa-division-profesional
231,bolivia,Liga Nacional Sub-19,22711,liga-nacional-sub-19
232,bolivia,Liga Femenina,22751,liga-femenina-de-futbol-boliviano
233,bolivia,Primera A Tarija,26176,primera-a-tarija
234,bolivia,Primera A Beni,26242,primera-a-beni
235,bolivia,Bolivia Friendly Games,27190,bolivia-friendly-games
236,bolivia,Interprovinciales Pre Copa Simón Bolívar,27354,torneo-interprovincial-cochabamba
237,bolivia,Primera A Chuquisaca,27114,chuquisaca-first-a
238,bolivia,Primera A Cochabamba,26682,primera-a-cochabamba
239,bolivia,Primera A La Paz,26954,primera-a-la-paz
240,bolivia,Primera A Oruro,27207,primera-a-oruoro
241,bolivia,Primera A Pando,27214,primera-a-pando
242,bolivia,Primera A Potosí,27197,primera-a-potosi
243,bolivia,Primera A Santa Cruz,26929,primera-a-santa-cruz
244,bolivia,Primera B Beni,27398,primera-b-beni
245,bolivia,Primera B Chuquisaca,27216,primera-b-chuquisaca
246,bolivia,Primera B Cochabamba,27384,primera-b-cochabamba
247,bolivia,Primera B La Paz,27493,primera-b-la-paz
248,bolivia,Primera B Oruro,27406,primera-b-oruro
249,bolivia,Primera B Potosí,27487,primera-b-potosi
250,bolivia,Primera B Santa Cruz,27334,primera-b-santa-cruz
251,bolivia,Primera B Tarija,27318,primera-b-tarija
252,bolivia,Primera de Ascenso Chuquisaca,28362,primera-de-ascenso-chuquisaca
253,bolivia,Primera de Ascenso Cochabamba,27549,primera-de-ascenso-cochabamba
254,bolivia,Primera de Ascenso La Paz,28164,primera-de-ascenso-la-paz
255,bolivia,Primera de Ascenso Santa Cruz,27692,primera-de-ascenso-santa-cruz
256,bolivia,Primera de Ascenso Tarija,27802,primera-de-ascenso-tarija
257,bolivia,Segunda de Ascenso Beni,27792,segunda-ascenso-beni
258,bolivia,Segunda de Ascenso Cochabamba,27653,segunda-de-ascenso-cochabamba
259,bolivia,Segunda de Ascenso La Paz,28350,segunda-de-ascenso-la-paz
260,bolivia,Segunda de Ascenso Santa Cruz,27800,segunda-de-ascenso-santa-cruz
261,bolivia,Segunda de Ascenso Tarija,27805,segunda-de-ascenso-tarija
262,bolivia,Tercera de Ascenso Cochabamba,27691,tercera-de-ascenso-cochabamba
263,bolivia,Tercera de Ascenso La Paz,28380,tercera-de-ascenso-la-paz
264,bolivia,Tercera de Ascenso Santa Cruz,27836,tercera-de-ascenso-santa-cruz
265,bolivia,Tercera de Ascenso Tarija,27819,tercera-de-ascenso-tarija
266,bosnia-herzegovina,WWIN Liga BiH,222,wwin-premijer-liga
267,bosnia-herzegovina,Bosnia & Herzegovina Cup,583,bosnia-and-herzegovina-cup
268,bosnia-herzegovina,Super Kup,26693,super-kup
269,bosnia-herzegovina,"Prva Liga, Federacije BiH",716,prva-liga-federacije-bih
270,bosnia-herzegovina,"Prva Liga, Republike Srpske",715,prva-liga-republike-srpske
271,bosnia-herzegovina,Premijer Liga BiH Juniori,22934,premijer-liga-bih-juniori
272,bosnia-herzegovina,Premijer Ženska Liga,26498,premijer-zenska-liga
273,bosnia-herzegovina,Kup BiH Juniori,25373,kup-bih-juniori
274,bosnia-herzegovina,Kup BiH Žene,26521,kup-bih-zene
